V,E,flow,uS
256,1024,42
256,2048,76
256,4096,109
256,8192,97
512,1024,6
512,2048,78
512,4096,95
512,8192,84
1024,2048,16
1024,4096,56
1024,8192,43
2048,4096,30
2048,8192,11
2048,9999,151
10000,20000,43
10000,40000,523
10000,80000,1544
25000,50000,84
25000,100000,77
25000,99000,372
30000,70000,141
30000,140000,1168
30000,280000,4335
40000,100000,244
40000,160000,528
